epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,6559.52,0.70324,0.59172,1.05573,0.87535,0.77082,0.86869,0.68397,1.01505,0.79549,1.06801,0.005446,0.005446,0.005446
71,6652.59,0.69745,0.58285,1.05232,0.79547,0.81556,0.86151,0.67688,0.98242,0.70878,1.04338,0.00538,0.00538,0.00538
72,6747.14,0.69398,0.59409,1.04679,0.84146,0.8359,0.89109,0.70608,1.05614,0.64506,1.12457,0.005314,0.005314,0.005314
73,6841.34,0.69387,0.57853,1.0491,0.83665,0.76995,0.8519,0.68583,1.00543,0.77604,1.05465,0.005248,0.005248,0.005248
74,6936.56,0.69662,0.57209,1.04886,0.8262,0.82616,0.87473,0.70507,0.96786,0.81859,1.0316,0.005182,0.005182,0.005182
75,7032.99,0.68103,0.56261,1.03909,0.85682,0.81037,0.87646,0.70571,0.9486,0.67275,1.02475,0.005116,0.005116,0.005116
76,7127.47,0.68323,0.56799,1.03867,0.80671,0.81119,0.88391,0.71028,0.96483,0.71019,1.05206,0.00505,0.00505,0.00505
77,7223.98,0.67964,0.56847,1.04414,0.87319,0.78062,0.89279,0.7137,0.95259,0.63803,1.02178,0.004984,0.004984,0.004984
78,7320.57,0.67201,0.56421,1.03699,0.85735,0.79527,0.87269,0.68944,0.96489,0.70008,1.04237,0.004918,0.004918,0.004918
79,7417.24,0.67947,0.57198,1.03788,0.81521,0.80878,0.87841,0.71096,0.96079,0.66159,1.02533,0.004852,0.004852,0.004852
80,7514.04,0.66845,0.54819,1.03428,0.83063,0.77465,0.85983,0.69699,0.93451,0.66228,1.01897,0.004786,0.004786,0.004786
81,7608.84,0.66656,0.54513,1.03324,0.8073,0.79874,0.87267,0.71203,0.92459,0.72744,1.0186,0.00472,0.00472,0.00472
82,7703.88,0.67061,0.54639,1.0357,0.83852,0.77982,0.87625,0.70329,0.97522,0.72419,1.04826,0.004654,0.004654,0.004654
